,@publicID,preferredOriginID,author,region,originID,orig_time,mag,lat,lon,z,lat_e,lon_e,z_e,min_dis,phasecount,stationcount,mag_e,t_e
106,texnet2020afjv,Origin/20230221213053.008072.48338,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230221213053.008072.48338,2020-01-03 22:38:58.507792+00:00,1.343195682,31.6266098,-104.1149445,2.229624987,3.965513468,2.96895504,3.628769636,0.2165791839,9.0,5.0,0.3938902842,0.6212537374
119,texnet2020akgl,Origin/20230221215412.762832.47981,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230221215412.762832.47981,2020-01-06 14:36:58.426884+00:00,1.662812726,31.61764908,-104.1146698,2.420937777,2.867248297,3.328364372,2.639020443,0.2229154855,8.0,4.0,0.3497053195,0.2650737878
178,texnet2020avqp,Origin/20230221224048.841564.49568,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230221224048.841564.49568,2020-01-12 20:14:35.440251+00:00,1.48014748,31.61710548,-104.1257172,3.051715612,2.643446922,2.616232872,2.166824102,0.216681689,10.0,6.0,0.4431492133,0.4653064264
224,texnet2020bhqc,Origin/20230221233221.951689.49777,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230221233221.951689.49777,2020-01-19 09:37:43.811204+00:00,1.71409816,31.62079239,-104.1166687,3.651375532,3.751385212,2.869731665,2.56000948,0.2195057273,10.0,6.0,0.4444416036,0.4388549007
251,texnet2020bmil,Origin/20230221235528.179287.49060,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230221235528.179287.49060,2020-01-21 23:25:32.096612+00:00,1.750595454,31.61450386,-103.9671631,6.133972645,1.828960776,2.213826418,2.918815613,0.2577348351,17.0,9.0,0.2410018931,0.5912102616
277,texnet2020bqpc,Origin/20230222001116.071247.51712,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230222001116.071247.51712,2020-01-24 07:20:07.702262+00:00,2.583103658,31.74783897,-104.1208954,5.0,3.485088587,2.604418755,fixed,0.1560173184,7.0,5.0,1.202302117,1.250240975
293,texnet2020bttp,Origin/20230222002726.576229.49114,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230222002726.576229.49114,2020-01-26 01:01:02.363394+00:00,1.672418548,31.61447334,-103.9643326,6.549022198,2.024369001,2.324110031,2.970352888,0.2553380132,14.0,7.0,0.2983826099,0.4102530295
295,texnet2020bust,Origin/20230222003518.343746.47975,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230222003518.343746.47975,2020-01-26 13:43:33.554965+00:00,1.359994636,31.64166832,-104.1181335,4.96306324,2.964109182,2.365256071,2.568204641,0.2045841664,12.0,7.0,0.3311415792,0.4389173608
299,texnet2020bvrz,Origin/20230222003518.415281.48406,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230222003518.415281.48406,2020-01-27 02:28:00.327415+00:00,1.237105084,31.61745262,-104.1052094,1.592771769,2.819724083,3.272812128,2.646505833,0.2288785577,8.0,4.0,0.3316148093,0.4356409156
307,texnet2020bwkd,Origin/20230222004321.694896.48833,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230222004321.694896.48833,2020-01-27 11:39:04.718350+00:00,1.488669641,31.69861603,-104.1324463,4.193986416,2.569659472,2.370148897,2.312847614,0.1624963135,10.0,5.0,0.2480747149,0.2534730141
308,texnet2020bwkf,Origin/20230222004321.701884.48919,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230222004321.701884.48919,2020-01-27 11:40:54.212474+00:00,1.23639979,31.69098854,-104.1163483,1.039691925,2.490475893,2.665686607,2.649183989,0.1781810224,8.0,4.0,0.4421837838,0.6109079621
