,ID,OT,Mag,Lat,Lon,Depth
2526,texnet2020bzra,2020-01-29T06:32:27.088000Z,1.49,31.71114,-104.03875,7.059
2527,texnet2020bztc,2020-01-29T07:35:06.477000Z,2.45,31.71249,-104.03925,6.204
2528,texnet2020bzua,2020-01-29T08:02:43.556000Z,1.92,31.71256,-104.03889,6.219
2529,texnet2020bzuh,2020-01-29T08:10:28.413000Z,1.68,31.71358,-104.03479,6.437
2531,texnet2020bzys,2020-01-29T10:24:48.333000Z,1.32,31.71061,-104.04295,6.657
2537,texnet2020cdbx,2020-01-31T03:25:51.612000Z,3.77,31.70986,-104.02643,7.09
2538,texnet2020cdby,2020-01-31T03:27:37.166000Z,3.71,31.71486,-104.03579,6.899
2539,texnet2020cdet,2020-01-31T04:52:08.933000Z,1.54,31.70999,-104.04267,6.424
2540,texnet2020cdga,2020-01-31T05:30:45.480000Z,1.62,31.71247,-104.0392,6.133
2544,texnet2020cdkb,2020-01-31T07:33:17.658000Z,1.37,31.71108,-104.02655,7.013
2546,texnet2020cdoo,2020-01-31T09:49:53.704000Z,1.46,31.71001,-104.04618,6.182
2547,texnet2020cdum,2020-01-31T12:49:53.450000Z,1.64,31.71093,-104.02797,4.835
2548,texnet2020cdut,2020-01-31T12:57:51.459000Z,1.97,31.71103,-104.02692,4.848
2574,texnet2020cqle,2020-02-07T10:53:39.609000Z,2.14,31.71189,-104.02398,7.039
2577,texnet2020csjm,2020-02-08T12:18:20.352000Z,1.32,31.70648,-104.02954,7.082
2611,texnet2020dksu,2020-02-18T13:28:07.441000Z,4.12,31.70953,-104.04124,6.611
2613,texnet2020dkut,2020-02-18T14:27:44.315000Z,1.98,31.71254,-104.03957,6.181
2646,texnet2020eacm,2020-02-26T23:24:03.876000Z,2.12,31.71153,-104.02082,7.171
2682,texnet2020fajy,2020-03-12T08:41:39.115000Z,1.53,31.71082,-104.02208,7.082
2724,texnet2020fzzi,2020-03-26T08:52:42.111000Z,4.06,31.70519,-104.04484,6.487
2725,texnet2020fzzu,2020-03-26T09:06:37.470000Z,1.46,31.70651,-104.04771,6.44
2726,texnet2020gaaa,2020-03-26T09:13:59.348000Z,1.71,31.70796,-104.04407,7.255
2727,texnet2020gaab,2020-03-26T09:15:40.988000Z,1.62,31.70688,-104.04732,6.61
2728,texnet2020gabl,2020-03-26T09:56:39.280000Z,1.3,31.70651,-104.0476,6.403
2730,texnet2020gaci,2020-03-26T10:23:25.472000Z,1.57,31.70804,-104.04426,7.303
2731,texnet2020gacu,2020-03-26T10:36:47.567000Z,1.42,31.69498,-104.05927,6.18
2732,texnet2020gadb,2020-03-26T10:45:04.531000Z,1.21,31.70701,-104.04498,6.596
2733,texnet2020gadm,2020-03-26T10:58:29.598000Z,1.55,31.69623,-104.05298,6.106
2734,texnet2020gahl,2020-03-26T12:58:58.346000Z,1.86,31.69555,-104.05773,6.239
2735,texnet2020gaks,2020-03-26T14:38:03.174000Z,2.0,31.70661,-104.04693,6.634
2737,texnet2020galz,2020-03-26T15:16:28.492000Z,4.91,31.70088,-104.04002,6.121
