,@publicID,preferredOriginID,author,region,originID,orig_time,mag,lat,lon,z,lat_e,lon_e,z_e,min_dis,phasecount,stationcount,mag_e,t_e
0,texnet2022teum,Origin/20230304135009.160896.48658,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230304135009.160896.48658,2022-10-01 00:04:29.867905+00:00,0.4254158257,31.68301582,-104.463356,7.539264202,2.442309856,2.059106827,5.732571125,0.03497149795,8.0,4.0,0.1371339375,0.4968160355
1,texnet2022teuo,Origin/20230304135009.359129.49027,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230304135009.359129.49027,2022-10-01 00:06:40.664379+00:00,0.3713180167,31.71322441,-104.3102722,4.637062073,2.761493206,1.688790202,2.409367561,0.05670560896,9.0,5.0,0.1050627561,0.1175042216
2,texnet2022teup,Origin/20230304135009.377243.49102,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230304135009.377243.49102,2022-10-01 00:08:22.643616+00:00,0.4152043421,31.70934677,-104.3957138,31.68982697,3.714146852,2.772671223,6.7759161,0.03327089921,10.0,6.0,0.1303893096,1.048497708
3,texnet2022teuv,Origin/20230304135013.478542.59078,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230304135013.478542.59078,2022-10-01 00:14:39.659186+00:00,1.020584947,31.59253311,-104.1818085,3.247061253,2.448057413,3.213566065,2.775034189,0.1060288548,14.0,8.0,0.2431819399,0.7673624382
4,texnet2022teuz,Origin/20230304135013.664709.59933,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230304135013.664709.59933,2022-10-01 00:19:40.033928+00:00,0.5560419565,31.66513634,-104.3129196,3.962212563,4.205887318,1.677694917,2.332895756,0.04145352542,10.0,5.0,0.1480048529,0.121051445
5,texnet2022tevb,Origin/20230304135014.160262.61075,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230304135014.160262.61075,2022-10-01 00:21:30.551609+00:00,0.5488367721,31.69017982,-104.2319336,1.966682553,3.58904171,6.258697033,3.106604099,0.03364412859,10.0,5.0,0.2650941763,0.8758013647
6,texnet2022tevc,Origin/20230304135014.281599.61469,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230304135014.281599.61469,2022-10-01 00:23:32.169874+00:00,0.9898499941,31.45323372,-104.5223465,0.934420526,18.77792549,14.30344391,9.542200089,0.2155378163,8.0,5.0,0.07770559365,0.8419763704
7,texnet2022tevj,Origin/20230304135027.645559.91391,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230304135027.645559.91391,2022-10-01 00:31:24.748241+00:00,0.8679063323,31.61664772,-104.5182266,7.449556351,7.615522861,4.943157673,8.594262123,0.05393052474,17.0,9.0,0.2453004292,0.1891687212
8,texnet2022tevo,Origin/20230304135031.208559.100705,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230304135031.208559.100705,2022-10-01 00:36:52.922206+00:00,0.428761009,31.68294525,-104.4110718,4.750702858,2.191260338,2.028103828,2.08727932,0.03210933134,12.0,6.0,0.05277205943,0.1914824196
9,texnet2022tewd,Origin/20230304135033.510907.107701,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230304135033.510907.107701,2022-10-01 00:54:37.449617+00:00,0.4317655325,31.67531013,-104.3314285,4.127049923,4.212109089,2.104450941,2.726501465,0.05684213713,7.0,4.0,0.1114048191,0.1432960364
