,@publicID,preferredOriginID,author,region,originID,orig_time,mag,lat,lon,z,lat_e,lon_e,z_e,min_dis,phasecount,stationcount,mag_e,t_e
0,texnet2022vjla,Origin/20230305134804.253028.65702,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230305134804.253028.65702,2022-11-01 00:02:15.100554+00:00,1.344495087,31.58599663,-104.0235138,6.177639961,1.249513388,1.192406297,2.9992733,0.05719563738,32.0,16.0,0.3007031855,0.5199573984
1,texnet2022vjlc,Origin/20230305134810.827727.82950,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230305134810.827727.82950,2022-11-01 00:05:17.258397+00:00,1.343333826,31.71816444,-104.288765,4.26279068,1.869508862,1.202025771,1.609851241,0.05065712333,21.0,11.0,0.2772353665,0.1825702323
2,texnet2022vjld,Origin/20230305134816.397213.94039,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230305134816.397213.94039,2022-11-01 00:05:41.718910+00:00,1.130807836,31.72169495,-104.3038406,10.68460178,2.923800468,1.971407294,5.565720558,0.05409954488,9.0,6.0,0.3295076284,0.5615367445
3,texnet2022vjlg,Origin/20230305134827.405797.117290,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230305134827.405797.117290,2022-11-01 00:09:38.936844+00:00,1.897492975,31.5845356,-104.0246887,4.057888985,1.241308928,0.9812836647,1.224484801,0.05433737114,38.0,19.0,0.3430842862,0.3176584784
4,texnet2022vjli,Origin/20230305134828.286584.122864,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230305134828.286584.122864,2022-11-01 00:11:52.336474+00:00,1.00898796,31.80921745,-104.3084488,25.17650223,6.972954273,1.466513395,4.162534714,0.0701950565,22.0,14.0,0.395977416,1.045620219
5,texnet2022vjlj,Origin/20230305134828.487948.123899,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230305134828.487948.123899,2022-11-01 00:13:14.691911+00:00,0.3726670276,31.66945457,-104.3651047,2.535410166,4.062043667,4.251876831,3.297135115,0.0585812591,12.0,7.0,0.09409345017,0.4010710952
6,texnet2022vjll,Origin/20230305134828.648564.124690,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230305134828.648564.124690,2022-11-01 00:15:04.356037+00:00,0.2651656116,31.67490387,-104.3867035,4.767809868,2.883277416,1.776160121,2.081018686,0.04291835427,12.0,6.0,0.08992508466,0.1831827358
7,texnet2022vjlm,Origin/20230305134837.314989.143539,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230305134837.314989.143539,2022-11-01 00:16:15.102403+00:00,1.253189589,31.68157959,-104.3880234,2.985748053,1.653281331,1.054581642,1.466056347,0.04526407272,25.0,14.0,0.1971280658,0.5612406441
8,texnet2022vjlo,Origin/20230305134837.354092.143810,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230305134837.354092.143810,2022-11-01 00:18:59.451604+00:00,1.145002663,31.62073517,-103.9993362,5.0,3.827546358,4.25002718,fixed,0.09745908529,10.0,6.0,0.3520655747,0.6842133371
9,texnet2022vjln,Origin/20230305134837.313839.143529,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230305134837.313839.143529,2022-11-01 00:17:07.292636+00:00,1.806764092,31.67122269,-104.384346,3.896687746,1.785332084,0.9663342237,1.372711658,0.04333567992,30.0,15.0,0.1022715803,0.2053519616
