#Network Station Latitude Longitude Elevation
4T NM01 32.35514 -103.39849 1038.0
4T NM02 32.2641 -103.879 1045.4
4T NM03 32.472544 -103.63428 1145.0
7P PC01 31.4089 -103.5102 793.0
7P PC02 31.4014 -103.543 801.0
7P PC03 31.4026 -103.526 798.0
7P PC04 31.4124 -103.4845 786.0
7P PC05 31.4277 -103.5098 788.0
7P PC06 31.4307 -103.4693 784.0
7P PC10 31.4309 -103.4685 782.0
7P PC11 31.5563 -103.8427 955.0
7P PC26 31.4312 -103.469 786.0
7P PC34 31.4542 -103.5952 815.0
7P PC35 31.4772 -103.6585 853.0
7P PC36 31.50065 -103.4364 793.0
7P PC37 31.4898 -103.4216 790.0
7P PC39 31.4397 -103.5684 805.0
7P PC50 31.4484 -103.6702 838.0
7P PC51 31.4412 -103.6121 819.0
7P PC53 31.4616 -103.6937 850.0
7P PC54 31.4321 -103.7049 863.0
7P PC65 31.52406 -103.36378 795.0
7P PC66 31.56766 -103.3192 834.0
7P PC73 31.6798 -103.60852 814.0
7P PC74 31.57113 -103.52817 800.0
7P PC75 31.52492 -103.52578 794.0
7P PC76 31.47944 -103.49508 788.0
7P PC80 31.50604 -103.72968 871.0
7P PC84 31.55586 -103.84669 960.0
GM NMP01 32.20476 -103.86048 1048.0
GM NMP02 32.08945 -103.86139 996.0
GM NMP11 32.00668 -103.93155 882.72
GM NMP12 32.12755 -103.95259 951.75
GM NMP23 32.167112 -103.802893 1049.63
GM NMP25 32.33787 -103.860072 983.0
GM NMP31 32.03585 -103.73465 972.79
GM NMP34 32.26384 -103.68967 1121.66
GM NMP35 32.352297 -103.724675 1070.98
GM NMP41 32.00509 -103.596471 959.89
GM NMP44 32.20474 -103.61883 1085.68
GM NMP45 32.33145 -103.58198 1127.38
GM NMP51 32.00448 -103.421678 974.99
GM NMP53 32.17626 -103.431176 1037.35
NX WTX28 32.878676 -103.376924 1173.0
NX WTX29 32.741397 -103.556767 1207.0
NX WTX35 31.90285 -104.144532 994.0
NX WTX36 31.95689 -104.122493 952.0
PN PPHOB 32.682999 -103.217003 1115.0
SC CBET 32.4203 -103.878998 1042.0
SC CL2B 32.264099 -103.878998 1046.0
SC CL7 32.413 -103.8084 1034.0
SC DAG 32.591 -104.691704 1280.0
SC GDL2 32.200802 -104.363701 1211.0
SC HOB3 32.735382 -103.386265 1164.0
SC HOB5 32.861927 -103.571485 1239.0
SC HTMS 32.472599 -103.6343 1192.0
SC JAL 32.20241 -103.22932 1020.0
SC PDB 32.0722 -103.59662 1025.0
SC RH1 32.214585 -103.518215 1093.9
SC SRH 32.491798 -104.515404 1276.0
SC SSS 32.355099 -103.398598 1072.0
TX DG02 31.40151 -103.54313 804.0
TX DG06 31.4124 -103.4845 785.0
TX DG07 31.452888 -103.52788 794.0
TX MB04 32.62542 -102.48802 956.0
TX MB04 32.62542 -102.48802 956.0
TX MB25 32.02737 -102.4867 921.0
TX ODSA 32.12009 -102.54913 943.0
TX OG03 32.02737 -102.4867 921.0
TX PB02 31.408951 -103.510162 792.0
TX PB06 31.6472 -103.21825 831.0
TX PB07 31.57935 -103.66793 856.0
TX PB07 31.57935 -103.66793 856.0
TX PB07 31.57935 -103.66793 856.0
TX PB09 31.774145 -104.301444 1139.0
TX PB11 31.93553 -104.03412 915.0
TX PB13 31.5542 -103.8458 956.1
TX PB20 31.6281 -104.06179 1022.0
TX PB23 31.66404 -104.07276 1005.0
TX PB24 31.61979 -104.01776 997.0
TX PB25 31.58308 -104.07019 1037.0
TX PB26 31.57819 -104.12579 1065.0
TX PB27 31.576319 -103.130707 812.3
TX PB28 31.66864 -104.50077 1204.0
TX PB29 31.75299 -104.514453 1242.0
TX PB31 31.73226 -104.030536 907.0
TX PB31 31.73226 -104.030536 907.0
TX PB33 31.534929 -104.054045 1006.0
TX PB34 31.676667 -104.037778 969.3
TX PB35 31.656187 -104.43203 1224.0
TX PB36 31.680262 -104.425899 1218.0
TX PB37 31.71847 -104.528416 1263.0
TX PB38 31.72972 -104.426634 1240.0
TX PB39 31.721667 -104.060278 927.0
TX PB40 31.641994 -103.933959 935.0
TX PB42 31.764578 -103.640224 830.0
TX PB43 31.680019 -103.864872 896.0
TX PB44 31.92377 -103.986965 894.0
TX PB46 31.706947 -103.475133 878.0
TX PB47 31.741433 -103.3351 861.0
TX PB51 31.940163 -103.381836 978.0
TX PCOS 31.408922 -103.510147 788.2
US MNTX 31.6985 -105.3821 404.8
