Lon,Lat,Year,Month,Day,Mag,Depth,Hour,Minute,Second,eventID,pvalue,HFassoc,assocwells
-104.7075,32.5582,2000,2,2,2.7,3,7,14,19.3,NM_33,NaN,0,
-102.0048,33.1288,2000,4,24,2,3,9,41,30.26,NM_35,NaN,0,
-104.6615,32.5862,2000,6,18,2.1,3,15,28,49.1,NM_36,NaN,0,
-104.729,32.561,2000,12,1,2.1,3,4,9,42.06,NM_45,NaN,0,
-104.6575,32.523,2000,12,15,2.1,3,18,50,14.54,NM_47,NaN,0,
-103.0805,32.3383,2001,6,1,2,3,20,29,43.16,NM_55,NaN,0,
-103.141,32.334,2001,6,2,3.3,5,1,55,53.72,p000afwr,NaN,0,
-104.6887,32.571,2001,7,28,2.6,3,11,35,28.82,NM_57,NaN,0,
-102.7283,31.6993,2001,11,22,3.1,3,0,7,9.6,NM_60,NaN,0,
-102.3947,31.4963,2001,11,23,2.4,3,13,47,10.57,NM_61,NaN,0,
-104.6387,32.5877,2002,1,9,2,3,10,23,1.97,NM_64,NaN,0,
-104.536,32.5858,2002,1,19,2.1,3,8,13,49.67,NM_67,NaN,0,
-104.6818,32.5448,2002,2,9,2.1,3,1,35,1.83,NM_71,NaN,0,
-104.6505,32.5568,2002,2,11,2.1,3,5,20,33.94,NM_72,NaN,0,
-104.688,32.6117,2002,6,13,2,3,9,15,7.38,NM_77,NaN,0,
-104.6643,32.5857,2002,8,12,2.8,3,23,28,30.67,NM_81,NaN,0,
-104.6932,32.5413,2002,8,12,2.1,3,23,36,29.8,NM_82,NaN,0,
-104.6393,32.5723,2002,8,14,2.9,3,23,17,33.01,NM_83,NaN,0,
-104.6727,32.5792,2002,8,19,2.1,3,18,51,52.87,NM_84,NaN,0,
-104.6673,32.5733,2002,8,22,2.2,3,20,19,0.9,NM_85,NaN,0,
-104.6795,32.5592,2002,8,23,2.2,3,10,21,17.75,NM_86,NaN,0,
-104.6098,32.6682,2002,8,30,2.1,3,7,7,55.55,NM_87,NaN,0,
-104.6485,32.591,2002,9,17,3.4,3,15,45,14.92,NM_88,NaN,0,
-104.6468,32.5812,2002,9,17,3.1,3,23,34,19.32,NM_89,NaN,0,
-104.6855,32.6808,2002,9,22,2.1,3,22,58,10.2,NM_90,NaN,0,
-104.6433,32.637,2002,9,25,2,3,5,15,5.54,NM_91,NaN,0,
-102.0392,33.8663,2002,10,4,2.3,3,8,36,14.62,NM_93,NaN,0,
-102.0935,33.9325,2002,10,4,2.5,3,9,23,26.63,NM_94,NaN,0,
-102.0865,33.8983,2002,10,4,2.1,3,9,31,13.15,NM_95,NaN,0,
-102.079,33.9212,2002,10,18,2.4,3,15,46,14.83,NM_96,NaN,0,
-104.6572,32.6005,2002,10,28,2,3,2,15,38.61,NM_97,NaN,0,
-104.6495,32.5645,2002,10,28,2.6,3,14,4,31.28,NM_98,NaN,0,
-104.6343,32.5642,2002,10,28,2.1,3,16,55,42.24,NM_99,NaN,0,
-101.9662,33.9073,2002,11,17,2.5,3,12,47,39.45,NM_103,NaN,0,
-104.658,32.5958,2003,1,19,2.2,3,15,31,32.76,NM_107,NaN,0,
-104.6628,32.5708,2003,1,20,2.2,3,16,34,23.35,NM_108,NaN,0,
-104.641,32.5797,2003,1,20,2.5,3,18,47,39.79,NM_109,NaN,0,
-104.6653,32.6927,2003,2,11,2.2,3,13,13,59.69,NM_110,NaN,0,
-104.6367,32.6947,2003,2,13,2.3,3,0,28,19.95,NM_111,NaN,0,
-104.6338,32.6922,2003,2,14,2.1,3,7,25,39.5,NM_112,NaN,0,
-104.7248,32.7232,2003,2,20,2.4,3,17,24,26.97,NM_113,NaN,0,
-104.6157,32.7032,2003,2,20,2.2,3,17,27,42.33,NM_114,NaN,0,
-104.7533,32.704,2003,2,23,2,3,0,14,11.02,NM_116,NaN,0,
-104.829,32.7228,2003,2,24,2,3,19,47,15.4,NM_117,NaN,0,
-104.6525,32.6833,2003,2,27,2,3,13,10,0.4,NM_118,NaN,0,
-104.6073,32.651,2003,3,19,3,3,8,35,12.36,NM_119,NaN,0,
-104.696,32.5847,2003,3,28,2.1,3,17,58,27.49,NM_120,NaN,0,
-104.6387,32.554,2003,4,15,2,3,21,48,54.24,NM_121,NaN,0,
-104.6647,32.6827,2003,5,8,2.7,3,13,0,32.11,NM_123,NaN,0,
-104.6515,32.57,2003,5,18,2.1,3,2,34,33.78,NM_124,NaN,0,
-104.6653,32.6942,2003,6,13,2,3,18,37,18.14,NM_128,NaN,0,
-104.8635,32.5947,2003,6,17,2,3,12,27,37.94,NM_130,NaN,0,
-104.631,32.7053,2003,6,21,3.6,3,2,3,9,NM_132,NaN,0,
-104.6478,32.6848,2003,6,21,2.3,3,3,24,39.81,NM_133,NaN,0,
-102.1452,31.5843,2003,8,12,2.4,3,6,43,59.2,NM_135,NaN,0,
-104.6128,32.5858,2003,9,15,2.9,3,11,27,6.23,NM_140,NaN,0,
-104.6308,32.7035,2003,10,19,2.3,3,3,41,2.16,NM_144,NaN,0,
-104.6132,32.6912,2003,11,13,2.1,3,19,59,17.23,NM_150,NaN,0,
-104.637,32.5353,2003,11,19,2.2,3,7,11,15.44,NM_151,NaN,0,
-104.5958,32.6888,2003,12,23,2.1,3,12,40,35.26,NM_160,NaN,0,
-104.6207,32.6755,2004,1,5,2.1,3,22,20,43.8,NM_163,NaN,0,
-104.6123,32.6327,2004,1,30,2.1,3,7,50,27.03,NM_166,NaN,0,
-104.689,32.5215,2004,2,12,2.1,3,15,12,38.33,NM_168,NaN,0,
-104.5983,32.6205,2004,2,19,2.3,3,11,27,26.74,NM_169,NaN,0,
-104.6258,32.5663,2004,2,24,2.4,3,20,57,21.2,NM_170,NaN,0,
-104.6292,32.666,2004,3,3,2.6,3,23,14,20.99,NM_171,NaN,0,
-104.6327,32.5822,2004,3,14,2.4,3,15,6,37.06,NM_174,NaN,0,
-104.6398,32.5742,2004,3,21,2.1,3,23,12,47.05,NM_175,NaN,0,
-104.628,32.5937,2004,3,29,2.1,3,3,35,17.65,NM_177,NaN,0,
-104.6823,32.5213,2004,4,20,2.2,3,17,41,57.7,NM_182,NaN,0,
-104.6372,32.6817,2004,4,24,2,3,22,40,27.2,NM_183,NaN,0,
-104.596,32.5993,2004,5,23,4,3,9,22,4.83,NM_184,NaN,0,
-104.6043,32.5858,2004,5,23,2,3,12,9,49.1,NM_185,NaN,0,
-104.6018,32.6452,2004,5,29,2.1,3,2,46,1.57,NM_187,NaN,0,
-104.6013,32.5783,2004,6,22,3,3,8,55,2.62,NM_189,NaN,0,
-104.584,32.528,2004,6,22,3.7,5,8,55,28.23,p000cygp,NaN,0,
-104.5983,32.5842,2004,6,22,2.1,3,9,14,3.63,NM_190,NaN,0,
-104.6193,32.595,2004,7,2,2.5,3,19,41,34.45,NM_191,NaN,0,
-104.6613,32.545,2004,7,18,2.2,3,19,19,38.65,NM_192,NaN,0,
-104.612,32.6792,2004,7,19,2,3,0,42,45.65,NM_193,NaN,0,
-104.6362,32.539,2004,7,19,2,3,9,51,6.9,NM_194,NaN,0,
-104.6445,32.563,2004,8,26,3.4,3,18,45,17.26,NM_196,NaN,0,
-104.6003,32.5882,2004,10,28,3,3,2,59,3.73,NM_197,NaN,0,
-104.6392,32.5335,2004,11,1,2,3,16,24,22.14,NM_198,NaN,0,
-104.624,32.5235,2004,12,20,2,3,20,42,52.43,NM_202,NaN,0,
-102.4237,31.557,2005,1,30,2.2,3,11,32,37.73,NM_205,NaN,0,
-104.6167,32.5938,2005,4,4,2.3,3,7,56,12.9,NM_207,NaN,0,
-104.621,32.5842,2005,5,4,2.3,3,6,22,11.49,NM_210,NaN,0,
-104.6095,32.5692,2005,5,13,2.4,3,12,27,7.28,NM_211,NaN,0,
-104.6483,32.3278,2005,6,15,2.2,3,4,7,1.14,NM_212,NaN,0,
-104.6668,32.3023,2005,6,15,2.6,3,4,33,57.92,NM_213,NaN,0,
-104.6637,32.3053,2005,6,15,2,3,22,48,55.23,NM_214,NaN,0,
-104.691,32.2875,2005,6,19,2.4,3,9,53,40.53,NM_215,NaN,0,
-104.6523,32.3177,2005,6,29,2.3,3,21,49,5.82,NM_216,NaN,0,
-104.6493,32.3207,2005,7,1,2.3,3,13,41,35.41,NM_217,NaN,0,
-104.796,32.6307,2005,7,20,2.1,3,2,16,49.65,NM_221,NaN,0,
-102.3045,31.5818,2005,9,27,2,3,11,42,32.11,NM_225,NaN,0,
-104.6257,32.5892,2005,10,11,2.1,3,8,29,53.93,NM_227,NaN,0,
-104.6407,32.5103,2005,11,4,2.2,3,18,9,13.85,NM_230,NaN,0,
-104.6573,32.6323,2005,12,19,4.1,3,20,27,38.6,NM_232,NaN,0,
-104.8352,32.5613,2005,12,19,2.9,3,20,41,18.87,NM_233,NaN,0,
-104.6057,32.7582,2005,12,19,2.7,3,20,41,42,NM_234,NaN,0,
-104.738,32.5617,2005,12,19,2,3,21,14,55.35,NM_235,NaN,0,
-104.5527,32.6155,2005,12,19,2.3,3,21,55,46.98,NM_236,NaN,0,
-104.7267,32.5883,2005,12,20,2.1,3,4,46,38.27,NM_237,NaN,0,
-104.69,32.5605,2005,12,20,2,3,4,51,18.79,NM_238,NaN,0,
-104.62,32.6207,2005,12,22,3.6,3,14,30,10.89,NM_239,NaN,0,
-104.5832,32.6628,2006,1,27,2.7,3,10,4,55.75,NM_240,NaN,0,
-104.586,32.6485,2006,1,27,3.1,3,16,7,45.12,NM_241,NaN,0,
-104.5912,32.6347,2006,2,4,2.7,3,19,55,10.21,NM_243,NaN,0,
-104.6075,32.713,2006,3,20,3,3,17,55,28.87,NM_245,NaN,0,
-101.419,31.954,2006,4,8,2.9,5,18,8,35.23,p000edz1,NaN,0,
-104.766,33.6078,2006,7,17,2.2,3,8,42,16.33,NM_252,NaN,0,
-100.894,32.895,2006,8,12,2.8,5,10,49,9.67,p000eqt1,NaN,0,
-104.645,32.5627,2006,11,2,2.3,3,0,42,39.78,NM_264,NaN,0,
-104.7068,32.4052,2006,11,21,2.4,3,8,23,29.78,NM_265,NaN,0,
-104.6073,32.6167,2006,11,26,2.1,3,11,57,14.11,NM_267,NaN,0,
-104.7053,32.4908,2007,3,21,2,3,8,47,25.19,NM_273,NaN,0,
-103.1078,32.671,2007,4,3,2.2,3,6,19,59.72,NM_274,NaN,0,
-104.7832,32.5403,2007,8,11,2,3,0,7,35.73,NM_277,NaN,0,
-105.0002,31.514,2007,9,10,2.1,3,10,27,37.8,NM_280,NaN,0,
-104.6652,33.3018,2007,12,21,2,3,17,38,18.52,NM_285,NaN,0,
-100.842,32.898,2008,1,29,3.3,5,10,24,53.24,p000fxpp,NaN,0,
-101.42,32.27,2008,2,18,2.1,3,14,15,0,p000fz6c,NaN,0,
-104.645,32.4898,2008,5,23,2.7,3,18,3,6.4,NM_294,NaN,0,
-104.641,32.503,2008,6,26,2.3,3,20,32,33.08,NM_297,NaN,0,
-104.6217,32.5326,2008,6,26,2.2,6.3,20,32,54,12063904,NaN,0,
-104.6802,32.222,2008,6,27,2,3,13,43,49.69,NM_298,NaN,0,
-104.5672,32.2938,2008,6,30,2.5,3,5,58,8.24,NM_299,NaN,0,
-104.6097,32.6065,2008,7,13,1.6,5.8,5,31,30,12064165,NaN,0,
-100.842,32.891,2008,7,18,2.7,5,17,31,9.4,p000gch9,NaN,0,
-100.771,32.849,2008,7,18,2.7,5,20,38,41.78,p000gchn,NaN,0,
-104.6165,32.7046,2008,8,1,1.5,4.3,9,46,45,302191020,NaN,0,
-104.6205,32.5348,2008,8,12,2.5,6.8,0,41,57,12064598,NaN,0,
-104.6211,32.5311,2008,8,12,2.5,6.2,12,42,24,12064604,NaN,0,
-104.623,32.5345,2008,8,13,2.1,6.7,5,17,17,12064622,NaN,0,
-104.6333,32.5708,2008,10,16,1.9,7.9,12,2,34,12068765,NaN,0,
-104.5896,32.6379,2008,12,17,2,5.2,10,16,1,302190519,NaN,0,
-104.6304,32.5918,2008,12,18,1.7,5.1,0,27,37,302190902,NaN,0,
-104.4236,32.6456,2008,12,26,2,7.1,18,19,43,302190802,NaN,0,
-104.6492,32.5613,2009,1,29,2.5,3,23,50,27.27,NM_310,NaN,0,
-104.662,32.5552,2009,1,30,2.7,3,1,41,21.23,NM_311,NaN,0,
-104.6488,32.5833,2009,1,30,1.6,5.5,2,18,41,302192982,NaN,0,
-104.6388,32.5809,2009,1,30,1.8,6.1,23,1,12,15699810,NaN,0,
-104.6464,32.5782,2009,2,8,2.1,5.7,18,22,57,15739512,NaN,0,
-103.0538,31.3339,2009,2,12,1.6,11.2,15,5,41,302193449,NaN,0,
-103.3755,30.7984,2009,2,17,2.4,5.7,7,15,1,15739691,NaN,0,
-104.6444,32.5797,2009,2,20,2.4,5.5,3,12,59,15739784,NaN,0,
-104.623,32.5308,2009,5,1,1.5,8.4,18,40,5,16437985,NaN,0,
-104.646,32.58,2009,5,2,2.5,5.9,3,50,1,16438003,NaN,0,
-103.4814,30.9167,2009,5,6,2.1,2.6,19,28,30,302192349,NaN,0,
-104.6758,31.1155,2009,5,9,2.6,10.1,9,3,17,16438104,NaN,0,
-102.5945,32.2108,2009,5,15,2,6.2,19,49,11,16438208,NaN,0,
-103.4018,31.3943,2009,5,18,2.3,7.7,17,37,34,16438255,NaN,0,
-100.9035,32.9337,2009,5,26,2.9,5,14,31,6.93,None,NaN,0,
-102.5539,31.7378,2009,6,2,1.7,0.4,18,0,19,17514203,NaN,0,
-103.4011,31.3677,2009,6,8,2.1,10.3,19,32,16,17514287,NaN,0,
-100.895,32.8775,2009,6,29,1.8,5,4,33,0.28,None,NaN,0,
-103.2143,31.5772,2009,6,30,2.5,3,13,51,37.14,NM_322,NaN,0,
-103.362,31.5012,2009,7,1,2.1,3,15,9,6.93,NM_323,NaN,0,
-103.3854,31.3753,2009,7,1,2.8,3.7,15,9,30,17522098,NaN,0,
-103.4972,31.3495,2009,7,3,2,3,16,20,26.33,NM_324,NaN,0,
-103.38,31.3833,2009,7,3,2.5,3,16,20,52,17522138,NaN,0,
-104.6783,32.3043,2009,7,24,2.7,3,10,30,55.62,NM_326,NaN,0,
-100.9298,32.809,2009,7,31,2.3,5,9,21,51.28,None,NaN,0,
-100.9022,32.931,2009,7,31,3.6,5,18,39,28.94,None,NaN,0,
-100.8728,32.9109,2009,8,12,2,5,14,48,39.39,None,NaN,0,
-104.7242,30.9489,2009,8,18,1.8,3,18,35,34,16588459,NaN,0,
-100.8956,32.8775,2009,8,25,3,5,19,45,13.84,None,NaN,0,
-100.8965,32.8756,2009,8,26,2.4,5,2,1,51.13,None,NaN,0,
-100.8985,32.8726,2009,8,28,2.4,5,23,14,19.96,None,NaN,0,
-103.4083,31.327,2009,8,29,2.1,3.3,11,49,7,16588675,NaN,0,
-100.8954,32.937,2009,9,1,2.4,5,10,36,55.95,None,NaN,0,
-104.7107,32.5167,2009,9,6,3.6,3,3,38,14.06,NM_337,NaN,0,
