max_cc cc_shift dlnA mstalta length start end center mode
 0.734821  8.0  0.070415  0.011060  1422  1028  2450  1739 0
 0.752487  8.0  0.044845  0.022672  1184  1028  2212  1620 0
 0.825681  8.0  0.003800  0.036659   716  1028  1744  1386 0
 0.955046  7.0 -0.129934  0.093961   568  1028  1596  1312 1
 0.820192  8.0  0.017935  0.022672   854  1028  1882  1455 0
 0.723285  8.0  0.086064  0.003853  1885  1028  2913  1970 0
 0.727779  8.0  0.079340  0.003853  1719  1028  2747  1887 0
 0.978637  4.0 -0.234485  1.000000   329  1028  1357  1192 1
 0.671977 10.0  0.217433  0.003853  1556  1357  2913  2135 0
 0.793027 10.0  0.136066  0.022672   525  1357  1882  1619 0
 0.800015 10.0  0.121653  0.036659   387  1357  1744  1550 0
 0.972758  9.0 -0.065915  1.000000   239  1357  1596  1476 1
 0.684905 10.0  0.197944  0.011060  1093  1357  2450  1903 0
 0.676528 10.0  0.209189  0.003853  1390  1357  2747  2052 0
 0.705576 10.0  0.165305  0.022672   855  1357  2212  1784 0
 0.478055 -129.0  0.911575  0.003853  1317  1596  2913  2254 0
 0.490676 -129.0  0.879355  0.011060   854  1596  2450  2023 0
 0.524367 -129.0  0.810044  0.022672   616  1596  2212  1904 0
 0.481164 -129.0  0.901045  0.003853  1151  1596  2747  2171 0
 0.394206 236.0  0.681334  0.003853  1003  1744  2747  2245 0
 0.367930 236.0  0.708223  0.003853  1169  1744  2913  2328 0
 0.523965 240.0  0.467252  0.035504   468  1744  2212  1978 0
 0.407893 236.0  0.634007  0.011060   706  1744  2450  2097 0
 0.553397 41.0  0.817783  0.003853   865  1882  2747  2314 0
 0.587293 41.0  0.755687  0.011060   568  1882  2450  2166 0
 0.529252 40.0  0.848253  0.003853  1031  1882  2913  2397 0
 0.750950 41.0  0.513691  1.000000   330  1882  2212  2047 1
 0.344985 20.0  2.037697  0.003853   701  2212  2913  2562 0
 0.407847 24.0  1.627371  0.042687   463  2450  2913  2681 0
 0.705978 23.0  1.327174  1.000000   166  2747  2913  2830 0
 0.722360  8.0  0.098021  0.004122  1720  1024  2744  1884 0
 0.718071  8.0  0.104356  0.004122  1886  1024  2910  1967 0
 0.818098  8.0  0.030544  0.022313   855  1024  1879  1451 0
 0.979551  4.0 -0.233516  1.000000   329  1024  1353  1188 1
 0.956405  7.0 -0.121742  0.094386   567  1024  1591  1307 1
 0.747747  8.0  0.062243  0.022313  1185  1024  2209  1616 0
 0.825345  8.0  0.013284  0.037595   719  1024  1743  1383 0
 0.729505  8.0  0.088811  0.010798  1427  1024  2451  1737 0
 0.671563 10.0  0.234635  0.004122  1391  1353  2744  2048 0
 0.800452 10.0  0.135980  0.037595   390  1353  1743  1548 0
 0.679997 10.0  0.223103  0.010798  1098  1353  2451  1902 0
 0.974710  9.0 -0.052710  1.000000   238  1353  1591  1472 1
 0.701238 10.0  0.189399  0.022313   856  1353  2209  1781 0
 0.790592  9.0  0.154496  0.022313   526  1353  1879  1616 0
 0.667239 10.0  0.242331  0.004122  1557  1353  2910  2131 0
 0.468325 -131.0  0.911079  0.010798   860  1591  2451  2021 0
 0.456767 -131.0  0.941826  0.004122  1319  1591  2910  2250 0
 0.500108 -131.0  0.841505  0.022313   618  1591  2209  1900 0
 0.459389 -131.0  0.932732  0.004122  1153  1591  2744  2167 0
 0.409349 234.0  0.742000  0.004122  1001  1743  2744  2243 0
 0.384502 234.0  0.764530  0.004122  1167  1743  2910  2326 0
 0.520359 238.0  0.537333  0.036308   466  1743  2209  1976 0
 0.423479 234.0  0.696722  0.010798   708  1743  2451  2097 0
 0.600864 38.0  0.807634  0.010798   572  1879  2451  2165 0
 0.549945 38.0  0.892223  0.004122  1031  1879  2910  2394 0
 0.758571 39.0  0.577818  1.000000   330  1879  2209  2044 1
 0.566919 38.0  0.866993  0.004122   865  1879  2744  2311 0
 0.324887 20.0  2.065487  0.004122   701  2209  2910  2559 0
 0.401321 25.0  1.644883  0.044488   459  2451  2910  2680 0
 0.706028 24.0  1.320931  1.000000   166  2744  2910  2827 0
 0.816454  7.0  0.041125  0.021869   858  1019  1877  1448 0
 0.743391  8.0  0.078560  0.021869  1188  1019  2207  1613 0
 0.725096  8.0  0.105377  0.010526  1431  1019  2450  1734 0
 0.980316  4.0 -0.232006  1.000000   330  1019  1349  1184 1
 0.713707  8.0  0.120852  0.004474  1889  1019  2908  1963 0
 0.717871  8.0  0.114815  0.004474  1723  1019  2742  1880 0
 0.957849  7.0 -0.113674  0.095135   567  1019  1586  1302 1
 0.826662  8.0  0.020955  0.038481   722  1019  1741  1380 0
 0.719620  8.0  0.111855  0.004474  1665  1019  2684  1851 0
 0.802574 10.0  0.147933  0.038481   392  1349  1741  1545 0
 0.667078 10.0  0.257715  0.004474  1393  1349  2742  2045 0
 0.668969 10.0  0.254033  0.004474  1335  1349  2684  2016 0
 0.696762 10.0  0.212097  0.021869   858  1349  2207  1778 0
 0.976376  9.0 -0.039760  1.000000   237  1349  1586  1467 1
 0.787981  9.0  0.170300  0.021869   528  1349  1877  1613 0
 0.662886 10.0  0.264993  0.004474  1559  1349  2908  2128 0
 0.675548 10.0  0.245954  0.010526  1101  1349  2450  1899 0
 0.437784 -133.0  0.957765  0.004474  1156  1586  2742  2164 0
 0.446159 -133.0  0.936164  0.010526   864  1586  2450  2018 0
 0.435096 -133.0  0.965826  0.004474  1322  1586  2908  2247 0
 0.475397 -133.0  0.867970  0.021869   621  1586  2207  1896 0
 0.441469 -133.0  0.951068  0.004474  1098  1586  2684  2135 0
 0.435315 233.0  0.753471  0.010526   709  1741  2450  2095 0
 0.514215 236.0  0.605219  0.037168   466  1741  2207  1974 0
 0.397548 233.0  0.815799  0.004474  1167  1741  2908  2324 0
 0.420960 233.0  0.796688  0.004474  1001  1741  2742  2241 0
 0.427223 233.0  0.783496  0.004474   943  1741  2684  2212 0
 0.569361 36.0  0.932380  0.004474  1031  1877  2908  2392 0
 0.614547 36.0  0.854674  0.010526   573  1877  2450  2163 0
 0.587783 37.0  0.894167  0.004474   807  1877  2684  2280 0
