Lon,Lat,"Depth(km)",VpVsRatio
-108.0000,34.5000,0,1.750 
-107.7822,34.5000,0,1.750 
-107.5644,34.5000,0,1.750 
-107.3467,34.5000,0,1.750 
-107.1289,34.5000,0,1.750 
-106.9111,34.5000,0,1.750 
-106.6933,34.5000,0,1.750 
-106.4755,34.5000,0,1.750 
-106.2578,34.5000,0,1.750 
-106.0400,34.5000,0,1.750 
-105.8222,34.5000,0,1.750 
-105.6044,34.5000,0,1.750 
-105.3866,34.5000,0,1.750 
-105.1688,34.5000,0,1.750 
-104.9511,34.5000,0,1.750 
-104.7333,34.5000,0,1.750 
-104.5155,34.5000,0,1.750 
-104.2977,34.5000,0,1.750 
-104.0799,34.5000,0,1.750 
-103.8622,34.5000,0,1.750 
-103.6444,34.5000,0,1.750 
-103.4266,34.5000,0,1.750 
-103.2088,34.5000,0,1.750 
-102.9910,34.5000,0,1.750 
-102.7733,34.5000,0,1.750 
-102.5555,34.5000,0,1.750 
-102.3377,34.5000,0,1.750 
-102.1199,34.5000,0,1.750 
-101.9021,34.5000,0,1.750 
-101.6843,34.5000,0,1.750 
-101.4666,34.5000,0,1.750 
-101.2488,34.5000,0,1.750 
-101.0310,34.5000,0,1.750 
-100.8132,34.5000,0,1.750 
-100.5954,34.5000,0,1.750 
-100.3777,34.5000,0,1.750 
-100.1599,34.5000,0,1.750 
-99.9421,34.5000,0,1.750 
-99.7243,34.5000,0,1.750 
-99.5065,34.5000,0,1.750 
-99.2888,34.5000,0,1.750 
-108.0000,34.3201,0,1.750 
-107.7822,34.3201,0,1.750 
-107.5644,34.3201,0,1.750 
-107.3467,34.3201,0,1.750 
-107.1289,34.3201,0,1.750 
-106.9111,34.3201,0,1.750 
-106.6933,34.3201,0,1.750 
-106.4755,34.3201,0,1.750 
-106.2578,34.3201,0,1.750 
-106.0400,34.3201,0,1.750 
-105.8222,34.3201,0,1.750 
-105.6044,34.3201,0,1.750 
-105.3866,34.3201,0,1.750 
-105.1688,34.3201,0,1.750 
-104.9511,34.3201,0,1.750 
-104.7333,34.3201,0,1.749 
-104.5155,34.3201,0,1.750 
-104.2977,34.3201,0,1.750 
-104.0799,34.3201,0,1.750 
-103.8622,34.3201,0,1.750 
-103.6444,34.3201,0,1.750 
-103.4266,34.3201,0,1.750 
-103.2088,34.3201,0,1.750 
-102.9910,34.3201,0,1.750 
-102.7733,34.3201,0,1.750 
-102.5555,34.3201,0,1.750 
-102.3377,34.3201,0,1.750 
-102.1199,34.3201,0,1.750 
-101.9021,34.3201,0,1.750 
-101.6843,34.3201,0,1.750 
-101.4666,34.3201,0,1.750 
-101.2488,34.3201,0,1.750 
-101.0310,34.3201,0,1.750 
-100.8132,34.3201,0,1.750 
-100.5954,34.3201,0,1.750 
-100.3777,34.3201,0,1.750 
-100.1599,34.3201,0,1.750 
-99.9421,34.3201,0,1.750 
-99.7243,34.3201,0,1.750 
-99.5065,34.3201,0,1.750 
-99.2888,34.3201,0,1.750 
-108.0000,34.1403,0,1.750 
-107.7822,34.1403,0,1.750 
-107.5644,34.1403,0,1.750 
-107.3467,34.1403,0,1.750 
-107.1289,34.1403,0,1.750 
-106.9111,34.1403,0,1.750 
-106.6933,34.1403,0,1.750 
-106.4755,34.1403,0,1.750 
-106.2578,34.1403,0,1.750 
-106.0400,34.1403,0,1.750 
-105.8222,34.1403,0,1.750 
-105.6044,34.1403,0,1.749 
-105.3866,34.1403,0,1.749 
-105.1688,34.1403,0,1.749 
-104.9511,34.1403,0,1.749 
-104.7333,34.1403,0,1.749 
-104.5155,34.1403,0,1.749 
-104.2977,34.1403,0,1.749 
-104.0799,34.1403,0,1.750 
-103.8622,34.1403,0,1.750 
-103.6444,34.1403,0,1.750 
