EventID,Origin Date,Origin Time,Latitude (WGS84),Longitude (WGS84),Depth,RMS,Magnitude,phases,evaluation mode,author,status,event_type,min_sta_dist,GAP,depth_uncertainty,latitude_uncertainty,longitude_uncertainty,
texnet2017agyk,1/4/2017,19:08:40,33.2611084,-97.9083252,6.798421224,0.51,1.799180957,12,manual,chas,final,quarry blast,28.67796685,87.31854627,3.562852448,2.143939694,2.293795048,
texnet2017ahau,1/4/2017,20:22:00,32.50305176,-96.87561035,18.53670247,0.62,1.829904258,16,manual,chas,final,quarry blast,3.105735331,221.4066252,4.230380343,2.557129824,3.356580992,
texnet2017akpm,1/6/2017,19:11:29,33.19879289,-97.84392632,3.971289063,1.23,2.187712242,20,manual,chas,final,quarry blast,26.87805332,83.26272542,3.35159652,2.173208939,1.537354574,
texnet2017arxu,1/10/2017,19:20:02,33.32885742,-97.83325195,7.336425781,0.93,2.460910031,23,manual,chas,final,quarry blast,38.79375981,71.06062609,2.889440482,2.041455614,1.923735536,
texnet2017axii,1/13/2017,18:19:54,33.51745605,-101.6583252,4.450764974,0.24,1.938386404,10,manual,chas,final,quarry blast,52.34192171,132.6099318,3.369464774,2.379438343,1.54114106,
texnet2017axki,1/13/2017,19:21:14,33.26934814,-97.80670166,0.024454753,0.67,2.30995416,25,manual,chas,final,quarry blast,35.14869529,64.17622304,1.53142565,1.572511096,1.178152741,
texnet2017azet,1/14/2017,18:47:32,33.32427979,-97.85980225,0.024454753,0.71,1.846116947,28,manual,chas,final,quarry blast,37.03417829,68.18109226,1.722567515,1.235029875,1.337621798,
texnet2017bgrm,1/18/2017,21:11:16,33.10821533,-97.81402588,13.5723877,0.32,1.911452328,14,manual,chas,final,quarry blast,24.65307845,103.8087787,1.767031133,2.336401943,1.068463859,
texnet2017bkkr,1/20/2017,22:17:19,33.20570109,-97.80190293,2.851171875,0.64,1.857956291,14,manual,chas,final,quarry blast,30.37852915,81.93074798,2.388897143,2.47072973,1.796210027,
texnet2017bprh,1/23/2017,19:20:14,33.28582764,-97.77740479,3.643758138,0.56,2.518891962,19,manual,chas,final,quarry blast,38.36257253,65.43797149,2.350122335,1.413035348,1.447230355,
texnet2017btpa,1/25/2017,22:42:59,33.28308105,-97.77282715,5.82023112,0.72,2.511648786,23,manual,chas,final,quarry blast,38.44620103,64.25476813,3.392708018,1.487319247,2.138093851,
texnet2017bxfc,1/27/2017,22:16:14,33.33068848,-97.83508301,1.320556641,0.74,2.583940141,23,manual,chas,final,quarry blast,38.86869408,68.15615445,2.4630998,1.431259583,1.94919827,
texnet2017ccgy,1/30/2017,16:51:36,33.0368042,-98.53546143,0.024454753,0.47,1.874519554,13,manual,Bissett,final,quarry blast,32.64732068,106.211033,2.882232986,1.597839059,1.177075798,
texnet2017cckc,1/30/2017,18:26:09,32.461,-100.5805,8,0.29,1.996460703,11,manual,chas,final,quarry blast,90.03516203,180,4.3,2.2627417,2.2627417,
texnet2017ccnj,1/30/2017,20:05:52,33.3013916,-97.83874512,0.048909505,1.02,2.411609873,28,manual,chastity,final,quarry blast,35.9934139,60.53663391,2.611829683,1.95905674,2.136797225,
texnet2017cctj,1/30/2017,23:07:44,33.31237793,-97.83874512,9.048258464,0.54,2.309900277,17,manual,chas,final,quarry blast,36.99058552,67.14487016,2.489651604,1.307437098,1.749503482,
texnet2017cfzo,2/1/2017,17:39:27,33.30871582,-97.84973145,8.363525391,0.55,2.270980248,16,manual,chas,final,quarry blast,36.07670781,115.3933949,2.887503227,1.888896961,1.797737698,
texnet2017cghm,2/1/2017,21:40:02,33.27941895,-97.82775879,5.037679036,0.55,2.467955361,17,manual,chas,final,quarry blast,34.68784701,111.9006652,2.452417492,1.85453601,1.71359002,
texnet2017cjrt,2/3/2017,18:15:22,33.30047607,-97.79937744,8.485799154,1.11,2.049558462,26,manual,chas,final,quarry blast,38.18363355,65.75253913,2.69845362,1.187677077,1.84268739,
texnet2017cjwr,2/3/2017,20:45:08,33.32794189,-97.85064697,10.44217936,0.5,2.42237812,17,manual,chas,final,quarry blast,37.82771923,87.44408303,2.670200551,1.207634342,1.703255189,
texnet2017clkz,2/4/2017,17:07:21,32.23937988,-98.10241699,3.47257487,0.37,2.197513762,20,manual,Dino,reported,quarry blast,59.52415209,81.88637813,2.83925806,1.341871947,1.959773794,
texnet2017cpif,2/6/2017,20:15:51,33.34259033,-97.8616333,4.13285319,0.46,2.232971218,22,manual,chas,final,quarry blast,38.70913636,69.3040167,2.176122181,1.17745792,1.2179227,
texnet2017cpmf,2/6/2017,22:16:41,33.35723877,-97.86712646,0.024454753,0.86,2.594509935,22,manual,chas,final,quarry blast,39.89892172,70.28614035,1.62885477,1.714612647,2.034795411,
texnet2017cuzs,2/9/2017,22:47:20,33.29772949,-97.85339355,10.41772461,0.45,2.295493588,14,manual,chas,final,quarry blast,34.87330389,90.23017953,3.117198649,1.565971693,1.822300329,
texnet2017dbyr,2/13/2017,18:12:52,33.31237793,-97.80944824,7.091878255,0.76,2.439186701,26,manual,chas,final,quarry blast,38.61397777,66.6230589,2.761036527,1.381197011,1.841373694,
texnet2017dcgo,2/13/2017,22:11:35,33.30505371,-97.80578613,10.90681966,0.37,2.111794092,14,manual,chas,final,quarry blast,38.19149818,95.33702618,2.427774942,1.572795338,1.637302163,
texnet2017dfyw,2/15/2017,22:50:31,33.27941895,-97.7911377,7.874430339,0.68,2.511226757,20,manual,chas,final,quarry blast,36.96010075,64.42450898,4.11471808,1.859232144,2.680009747,
texnet2017dhpl,2/16/2017,20:21:23,30.782,-99.20766667,6,0.4,1.37592216,11,manual,chas,final,quarry blast,66.19937942,188,5.5,4.666904756,4.666904756,
texnet2017dhqh,2/16/2017,20:47:29,33.31237793,-97.82043457,0.048909505,0.97,2.62499329,18,manual,chas,final,quarry blast,37.99033585,74.84286385,3.468330727,1.860395649,2.618351566,
texnet2017doze,2/20/2017,21:13:24,33.2905,-97.828,5,0.88,2.614659291,37,manual,chas,final,quarry blast,35.65352356,66,2.4,1.343502884,1.343502884,
texnet2017dqwv,2/21/2017,22:18:44,31.67999268,-99.02618408,0.024454753,0.62,1.367939832,12,manual,chas,final,quarry blast,45.59099674,92.15158452,1.722049973,2.47384701,1.986250749,
texnet2017dsoy,2/22/2017,20:35:58,33.31970215,-97.76916504,9.341715495,0.67,1.887213274,18,manual,chas,final,quarry blast,41.64501919,116.709212,3.188434985,2.371120711,2.2842601,
texnet2017dssh,2/22/2017,22:17:41,33.25012207,-97.77282715,1.614013672,0.81,2.056477369,14,manual,chas,final,quarry blast,35.95581078,108.3669733,2.991010189,2.32953087,2.497968012,
texnet2017dunt,2/23/2017,22:16:10,33.19050305,-97.81628772,8.936132813,0.44,2.270513158,12,manual,chas,final,quarry blast,28.32479111,60.87736874,1.008806942,1.960385067,1.642079704,
texnet2017dwjg,2/24/2017,22:16:27,33.17392336,-97.83269829,7.846289063,0.67,2.485090479,19,manual,chas,final,quarry blast,26.04340721,60.08740342,0.723091187,1.978597787,1.531260644,
texnet2017dwod,2/25/2017,0:44:29,30.64178467,-98.29559326,3.497029622,0.26,1.264227639,11,manual,chas,final,quarry blast,69.82041201,140.868172,1.983562581,1.533094483,1.162085191,
texnet2017efkr,3/1/2017,21:13:16,33.15,-97.83066667,5,0.8,2.147207121,20,manual,chas,final,quarry blast,25.13773712,206,3.1,2.687005769,2.687005769,
texnet2017ehek,3/2/2017,20:19:35,32.27583333,-100.4908333,7,0.67,1.213242918,13,manual,chas,final,quarry blast,72.3085506,112,3.1,1.979898987,1.979898987,
texnet2017ehfg,3/2/2017,20:45:55,33.27758789,-97.78930664,3.619303385,0.67,2.617931757,23,manual,chas,final,quarry blast,36.93189638,91.24129558,3.243009893,1.374948174,2.625335964,
texnet2017ehhm,3/2/2017,21:52:00,32.41149902,-96.8536377,13.54793294,0.6,2.501469713,16,manual,chas,final,quarry blast,8.842774392,284.537381,2.456220468,2.638093707,2.443051015,
texnet2017ejdw,3/3/2017,22:19:22,33.23886047,-97.87265435,13.38632813,0.54,2.636180458,13,manual,chas,final,quarry blast,28.20567474,96.21516202,6.345373501,2.081740292,2.287635288,
texnet2017eqjd,3/7/2017,20:55:30,30.94665527,-99.12780762,0.048909505,0.68,0.8626788,12,manual,chas,final,quarry blast,37.97232231,88.70357421,1.68063286,1.808897084,3.997808679,
texnet2017evts,3/10/2017,19:57:57,33.27575684,-97.83874512,1.418375651,0.61,2.158023758,14,manual,chas,final,quarry blast,33.7246746,85.20927388,2.463530683,2.46222094,2.513576811,
texnet2017fdck,3/14/2017,20:19:03,29.45983887,-99.3182373,0.048909505,0.74,1.558814194,12,manual,Bissett,final,quarry blast,8.493426229,98.81913001,1.500690803,1.465789718,4.39577613,
texnet2017fden,3/14/2017,21:22:05,33.31237793,-97.78747559,11.49373372,0.64,2.489556226,19,manual,Bissett,final,quarry blast,39.91088029,92.77697782,3.25706287,1.897613606,2.077421245,
texnet2017ffcl,3/15/2017,22:35:31,30.97229004,-99.13146973,5.233317057,1.01,1.305584274,11,manual,Bissett,final,quarry blast,35.38483266,165.2442221,2.287766015,1.767719582,2.834387166,
texnet2017fifv,3/17/2017,15:43:05,31.11602783,-105.0741577,0.024454753,1.09,1.336546229,13,manual,chas,final,quarry blast,37.65775983,164.0976382,1.671249355,1.507161177,2.686856819,
texnet2017fiim,3/17/2017,17:04:01,30.92376709,-99.22943115,0.024454753,0.49,1.383194335,13,manual,chas,final,quarry blast,44.19911114,86.55144074,1.48430084,1.80018958,2.212109548,
texnet2017foao,3/20/2017,19:52:27,33.16589355,-97.77282715,15.11303711,0.56,2.43481848,14,manual,chastity,final,quarry blast,29.48382611,132.1715161,3.386372618,3.753615364,2.410114214,
texnet2017fobk,3/20/2017,20:18:55,30.97229004,-99.1607666,0.440185547,0.61,1.112452852,14,manual,chastity,final,quarry blast,36.43176333,86.56415556,2.043298445,2.334745983,2.69985186,
texnet2017gbag,3/27/2017,22:28:58,30.65734863,-98.30383301,2.494384766,0.62,1.235600655,13,manual,chastity,final,quarry blast,70.21892904,138.7296932,3.76110131,3.447942363,4.082972773,
texnet2017gcqi,3/28/2017,19:45:43,33.25744629,-97.91931152,24.60148112,0.64,2.083952131,15,manual,chastity,final,quarry blast,27.81302975,101.8245633,3.296033852,2.762333282,2.776241441,
texnet2017gcut,3/28/2017,21:58:37,30.98236084,-99.1708374,0.366821289,0.67,1.109362857,18,manual,chastity,final,quarry blast,35.82373215,128.8175178,1.540633076,2.003227317,2.463871339,
texnet2017gnrv,4/3/2017,20:59:45,29.45526123,-99.25140381,0.024454753,0.8,1.626000132,17,manual,chastity,final,quarry blast,8.67131061,82.46335603,1.286591766,1.548234469,2.377853236,
