@publicID,preferredOriginID,region,date,magnitude,latitude,longitude,depth [km],latitude error [km],longitude error [km],depth error [km],minimum station distance [km],phase count,station count,mag_e,rms [s]
texnet2020galz,smi:local/Origin/20221020160125.876382.45824,Western Texas,2020-03-26 15:16:27.955145,4.955988168,31.70234108,-104.0421906,6.751712322,5.279360294,3.911684513,32.64692688,0.2233335823,7.0,7.0,0.27038363190000003,0.111873666
texnet2021sgcm,smi:local/Origin/20221020160556.482976.45792,Western Texas,2021-09-17 11:42:47.488782,3.1598965889999997,32.27523041,-102.20323940000002,6.668516159,9.566821098,5.330596924,42.19750977,0.1483406126,7.0,7.0,0.2038193086,0.03966395824
texnet2020wauc,smi:local/Origin/20221020160302.985034.45795,Western Texas,2020-11-09 11:56:45.834860,3.131585797,31.93676376,-102.3234863,6.81175375,3.347200155,4.514632225,7.699738026,0.015551329590000001,6.0,4.0,0.35355930799999996,0.08878799516000001
texnet2020dndb,smi:local/Origin/20221020160045.373019.45808,Western Texas,2020-02-19 20:54:44.049630,3.055347711,31.975914000000003,-102.3231277,5.018430233,10.04616928,3.257960558,5.625056744,0.06465891749,6.0,4.0,0.23631581489999998,0.07086405222
texnet2022ckqw,smi:local/Origin/20221020160131.393999.45767,Western Texas,2022-02-04 06:57:18.728989,3.0003477110000003,31.92570877,-102.3143234,8.56768322,4.43363905,5.116259575,10.52353001,0.011972757990000001,6.0,5.0,0.38329938119999996,0.11299969119999999
texnet2017fahr,smi:local/Origin/20221020160104.367382.45758,Western Texas,2017-03-13 07:32:47.135155,2.932254525,32.052791600000006,-102.272728,2.820664883,7.203563213,3.869716167,4.504937172,0.24403241280000001,6.0,5.0,0.22837472190000002,0.07419337265999999
texnet2020xdtu,smi:local/Origin/20221020160548.086191.45827,Western Texas,2020-11-25 08:44:00.927470,2.929290927,32.09308624,-102.1748276,8.432971001,28.129178999999997,32.55373764,36.70820236,0.1135008112,6.0,5.0,0.1522538458,0.02393596008
texnet2022anoc,smi:local/Origin/20221020160147.180086.45771,Western Texas,2022-01-08 09:53:27.644239,2.904523981,31.98127937,-102.33786009999999,6.537574291,9.368534087999999,10.07992363,16.34220695,0.02923214063,6.0,5.0,0.2264148315,0.06769907087999999
texnet2021ymzt,smi:local/Origin/20221020160423.207742.45801,Western Texas,2021-12-15 15:30:21.363718,2.8228684760000005,32.02858734,-102.2566071,8.610292435,31.38433838,12.24206734,26.99290276,0.028084168210000003,6.0,5.0,0.2975771714,0.01641325059
texnet2020udeo,smi:local/Origin/20221020160158.226528.45838,Western Texas,2020-10-13 08:25:44.987145,2.7263086160000003,31.93702316,-102.33217619999999,5.98903513,4.404365063,6.2683615679999996,10.62433434,0.01880891249,6.0,4.0,0.321455955,0.1020079866
texnet2020ohty,smi:local/Origin/20221020160321.480781.45819,Western Texas,2020-07-22 11:31:31.607493,2.696133095,31.939888,-102.332695,6.013681889,2.142762661,3.8046231269999997,6.232111454,0.016395548359999998,8.0,5.0,0.38108561399999996,0.1373111704
texnet2020xpjn,smi:local/Origin/20221020160426.24848.45793,Western Texas,2020-12-01 17:09:52.024208,2.616126796,31.9762001,-102.3027267,5.70343256,5.823138714,5.724133492000001,8.621454239,0.02811467648,6.0,4.0,0.29758360640000003,0.042990190899999996
texnet2020rkqs,smi:local/Origin/20221020160347.285149.45800,Western Texas,2020-09-04 17:54:44.659569,2.607155187,31.97476768,-102.3028183,5.924660683,5.595319271,5.499355792999999,8.578417778,0.026979584249999997,6.0,4.0,0.24894199600000003,0.04290757541
texnet2020xkpv,smi:local/Origin/20221020160432.481391.45817,Western Texas,2020-11-29 02:41:00.836127,2.5920948669999997,31.97497749,-102.2996368,5.8345389370000005,5.461585522000001,5.42589283,8.484433174,0.02898961119,6.0,4.0,0.3012130568,0.04042468013
texnet2020tzve,smi:local/Origin/20221020160424.755694.45803,Western Texas,2020-10-11 12:16:20.720102,2.58893154,32.407703399999995,-101.5912247,5.977617264,3.48955369,5.557506084,11.12918377,0.3147595823,6.0,5.0,0.1857210491,0.02022085504
texnet2022lsuk,smi:local/Origin/20221020160104.71796.45747,Western Texas,2022-06-16 19:39:12.553706,2.555791477,32.38191986,-101.61811829999999,3.9655275339999996,3.741509676,6.215083599,5.416040421,0.176109612,7.0,5.0,0.2604600938,0.10540143689999999
texnet2021vjhm,smi:local/Origin/20221020160330.722638.45790,Western Texas,2021-10-31 22:15:22.019503,2.536216865,32.31884766,-101.628624,3.7782959939999996,8.207371712,4.680782795,4.23117733,0.1483875811,6.0,4.0,0.3278663274,0.05864908237000001
texnet2020pcds,smi:local/Origin/20221020160414.096463.45787,Western Texas,2020-08-02 15:11:23.524538,2.531595635,31.93462753,-102.32015229999999,7.739379883,3.5280187130000003,3.961262941,7.69609642,0.012614266019999999,6.0,4.0,0.7138435206999999,0.11746659820000001
