#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
4F|ALVA|00|HHX|32.3992|-97.092499|168.0|0.0|90.0|0.0|Nanometrics Trillium Compact/Taurus Standard 47k|7.47783E8|0.5|M/S|200.0|2015-05-01T00:00:00|2016-08-17T23:59:59
4F|ALVA|00|HHY|32.3992|-97.092499|168.0|0.0|0.0|0.0|Nanometrics Trillium Compact/Taurus Standard 47k|7.47783E8|0.5|M/S|200.0|2015-05-01T00:00:00|2016-08-17T23:59:59
4F|ALVA|00|HHZ|32.3992|-97.092499|168.0|0.0|0.0|-90.0|Nanometrics Trillium Compact/Taurus Standard 47k|7.47783E8|0.5|M/S|200.0|2015-05-01T00:00:00|2016-08-17T23:59:59
4F|CLEB||HHX|32.3517|-97.431099|250.0|0.0|90.0|0.0|Nanometrics Trillium Compact/Taurus Standard 47k|7.47783E8|0.5|M/S|200.0|2015-05-01T00:00:00|2016-11-15T23:59:59
4F|CLEB||HHY|32.3517|-97.431099|250.0|0.0|0.0|0.0|Nanometrics Trillium Compact/Taurus Standard 47k|7.47783E8|0.5|M/S|200.0|2015-05-01T00:00:00|2016-11-15T23:59:59
4F|CLEB||HHZ|32.3517|-97.431099|250.0|0.0|0.0|-90.0|Nanometrics Trillium Compact/Taurus Standard 47k|7.47783E8|0.5|M/S|200.0|2015-05-01T00:00:00|2016-11-15T23:59:59
4F|FWTW||LOG|32.7347|-97.2785|185.0|0.0|0.0|0.0|Reftek 130 Datalogger||||0.0|2017-11-29T21:00:17|2021-08-10T13:20:00
4F|FWTW|01|EHE|32.7347|-97.2785|185.0|0.0|90.0|0.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|m/s|100.0|2017-11-29T21:00:17|2021-08-10T13:20:00
4F|FWTW|01|EHN|32.7347|-97.2785|185.0|0.0|0.0|0.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|m/s|100.0|2017-11-29T21:00:17|2021-08-10T13:20:00
4F|FWTW|01|EHZ|32.7347|-97.2785|185.0|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|m/s|100.0|2017-11-29T21:00:17|2021-08-10T13:20:00
4F|HILL||HHX|32.084301|-97.095001|189.0|0.0|90.0|0.0|Nanometrics Trillium Compact/Taurus Standard 47k|7.47783E8|0.5|M/S|200.0|2015-05-01T00:00:00|2015-11-27T04:00:00
4F|HILL||HHY|32.084301|-97.095001|189.0|0.0|0.0|0.0|Nanometrics Trillium Compact/Taurus Standard 47k|7.47783E8|0.5|M/S|200.0|2015-05-01T00:00:00|2015-11-27T04:00:00
4F|HILL||HHZ|32.084301|-97.095001|189.0|0.0|0.0|-90.0|Nanometrics Trillium Compact/Taurus Standard 47k|7.47783E8|0.5|M/S|200.0|2015-05-01T00:00:00|2015-11-27T04:00:00
4F|MEEG||HHX|32.481899|-96.897202|193.0|0.0|90.0|0.0|Nanometrics Trillium Compact/Taurus Standard 47k|7.47783E8|0.5|M/S|200.0|2015-05-01T00:00:00|2016-11-16T23:27:00
4F|MEEG||HHY|32.481899|-96.897202|193.0|0.0|0.0|0.0|Nanometrics Trillium Compact/Taurus Standard 47k|7.47783E8|0.5|M/S|200.0|2015-05-01T00:00:00|2016-11-16T23:27:00
4F|MEEG||HHZ|32.481899|-96.897202|193.0|0.0|0.0|-90.0|Nanometrics Trillium Compact/Taurus Standard 47k|7.47783E8|0.5|M/S|200.0|2015-05-01T00:00:00|2016-11-16T23:27:00
4F|V1362||EHE|32.4888|-97.113098|190.0|0.0|90.0|0.0|Mark Products L28/Reftek 125  w/LOG channel|1.56854E7|10.0|M/S|200.0|2015-05-10T00:00:00|2015-05-19T23:59:59
4F|V1362||EHN|32.4888|-97.113098|190.0|0.0|0.0|0.0|Mark Products L28/Reftek 125  w/LOG channel|1.56854E7|10.0|M/S|200.0|2015-05-10T00:00:00|2015-05-19T23:59:59
4F|V1362||EHZ|32.4888|-97.113098|190.0|0.0|0.0|-90.0|Mark Products L28/Reftek 125  w/LOG channel|2.50967E8|10.0|M/S|200.0|2015-05-10T00:00:00|2015-05-19T23:59:59
4F|V1362||LOG|32.4888|-97.113098|190.0|0.0|0.0|0.0|Reftek 125  w/LOG channel||||0.0|2015-05-10T00:00:00|2015-05-19T23:59:59
4F|V2600||EHZ|32.5095|-97.0995|177.0|0.0|0.0|90.0|Geospace/Reftek 125  w/LOG channel|5.01933E8|10.0|m/s|200.0|2015-05-10T00:00:00|2015-05-19T23:59:59
4F|V2600||LOG|32.5095|-97.0995|177.0|0.0|0.0|0.0|Reftek 125  w/LOG channel||||0.0|2015-05-10T00:00:00|2015-05-19T23:59:59
4F|V2600||LOG|32.5095|-97.0995|177.0|0.0|0.0|0.0|Reftek 130 Datalogger||||0.0|2015-05-20T00:00:00|2023-12-31T23:59:59
4F|V2600|01|EH1|32.5095|-97.0995|177.0|0.0|0.0|0.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|m/s|100.0|2015-05-20T00:00:00|2023-12-31T23:59:59
4F|V2600|01|EH2|32.5095|-97.0995|177.0|0.0|90.0|0.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|m/s|100.0|2015-05-20T00:00:00|2023-12-31T23:59:59
4F|V2600|01|EHZ|32.5095|-97.0995|177.0|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|m/s|100.0|2015-05-20T00:00:00|2023-12-31T23:59:59
4F|V3876||EHE|32.469898|-97.203102|233.0|0.0|90.0|0.0|Mark Products L28/Reftek 125  w/LOG channel|1.56854E7|10.0|M/S|200.0|2015-05-10T00:00:00|2015-05-19T23:59:59
4F|V3876||EHN|32.469898|-97.203102|233.0|0.0|0.0|0.0|Mark Products L28/Reftek 125  w/LOG channel|1.56854E7|10.0|M/S|200.0|2015-05-10T00:00:00|2015-05-19T23:59:59
4F|V3876||EHZ|32.469898|-97.203102|233.0|0.0|0.0|-90.0|Mark Products L28/Reftek 125  w/LOG channel|2.50967E8|10.0|M/S|200.0|2015-05-10T00:00:00|2015-05-19T23:59:59
4F|V3876||LOG|32.469898|-97.203102|233.0|0.0|0.0|0.0|Reftek 125  w/LOG channel||||0.0|2015-05-10T00:00:00|2015-05-19T23:59:59
