#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
N4|060A||ACE|27.0361|-80.361801|9.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite||||0.0|2014-02-04T18:00:21|2019-02-07T12:50:00
N4|060A||ACE|27.0361|-80.361801|9.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite||||0.0|2019-02-07T12:50:00|2019-03-17T00:00:00
N4|060A||BHE|27.0361|-80.361801|9.0|0.0|90.0|0.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.02078E8|0.2|m/s|40.0|2014-02-04T18:00:21|2019-02-07T12:50:00
N4|060A||BHE|27.0361|-80.361801|9.0|0.0|90.0|0.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.02078E8|0.2|m/s|40.0|2019-02-07T12:50:00|2019-03-17T00:00:00
N4|060A||BHN|27.0361|-80.361801|9.0|0.0|0.0|0.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.02078E8|0.2|m/s|40.0|2014-02-04T18:00:21|2019-02-07T12:50:00
N4|060A||BHN|27.0361|-80.361801|9.0|0.0|0.0|0.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.02078E8|0.2|m/s|40.0|2019-02-07T12:50:00|2019-03-17T00:00:00
N4|060A||BHZ|27.0361|-80.361801|9.0|0.0|0.0|-90.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.02078E8|0.2|m/s|40.0|2014-02-04T18:00:21|2019-02-07T12:50:00
N4|060A||BHZ|27.0361|-80.361801|9.0|0.0|0.0|-90.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.02078E8|0.2|m/s|40.0|2019-02-07T12:50:00|2019-03-17T00:00:00
N4|060A||HHE|27.0361|-80.361801|9.0|0.0|90.0|0.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.0213E8|0.3|m/s|100.0|2014-02-04T18:00:21|2019-02-07T12:50:00
N4|060A||HHE|27.0361|-80.361801|9.0|0.0|90.0|0.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.0213E8|0.3|m/s|100.0|2019-02-07T12:50:00|2019-03-17T00:00:00
N4|060A||HHN|27.0361|-80.361801|9.0|0.0|0.0|0.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.0213E8|0.3|m/s|100.0|2014-02-04T18:00:21|2019-02-07T12:50:00
N4|060A||HHN|27.0361|-80.361801|9.0|0.0|0.0|0.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.0213E8|0.3|m/s|100.0|2019-02-07T12:50:00|2019-03-17T00:00:00
N4|060A||HHZ|27.0361|-80.361801|9.0|0.0|0.0|-90.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.0213E8|0.3|m/s|100.0|2014-02-04T18:00:21|2019-02-07T12:50:00
N4|060A||HHZ|27.0361|-80.361801|9.0|0.0|0.0|-90.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.0213E8|0.3|m/s|100.0|2019-02-07T12:50:00|2019-03-17T00:00:00
N4|060A||LCE|27.0361|-80.361801|9.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite|1000000.0|0.0|s|1.0|2014-02-04T18:00:21|2019-02-07T12:50:00
N4|060A||LCE|27.0361|-80.361801|9.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite|1000000.0|0.0|s|1.0|2019-02-07T12:50:00|2019-03-17T00:00:00
N4|060A||LCQ|27.0361|-80.361801|9.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite|1.0|0.0|percent|1.0|2014-02-04T18:00:21|2019-02-07T12:50:00
N4|060A||LCQ|27.0361|-80.361801|9.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite|1.0|0.0|percent|1.0|2019-02-07T12:50:00|2019-03-17T00:00:00
N4|060A||LHE|27.0361|-80.361801|9.0|0.0|90.0|0.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.01495E8|0.02|m/s|1.0|2014-02-04T18:00:21|2019-02-07T12:50:00
N4|060A||LHE|27.0361|-80.361801|9.0|0.0|90.0|0.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.01495E8|0.02|m/s|1.0|2019-02-07T12:50:00|2019-03-17T00:00:00
N4|060A||LHN|27.0361|-80.361801|9.0|0.0|0.0|0.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.01495E8|0.02|m/s|1.0|2014-02-04T18:00:21|2019-02-07T12:50:00
N4|060A||LHN|27.0361|-80.361801|9.0|0.0|0.0|0.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.01495E8|0.02|m/s|1.0|2019-02-07T12:50:00|2019-03-17T00:00:00
N4|060A||LHZ|27.0361|-80.361801|9.0|0.0|0.0|-90.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.01495E8|0.02|m/s|1.0|2014-02-04T18:00:21|2019-02-07T12:50:00
N4|060A||LHZ|27.0361|-80.361801|9.0|0.0|0.0|-90.0|Nanometrics Trillium 240 Sec Response sn 0-399/Qua|5.01495E8|0.02|m/s|1.0|2019-02-07T12:50:00|2019-03-17T00:00:00
N4|060A||LOG|27.0361|-80.361801|9.0|0.0|0.0|0.0|Quanterra 330 Linear Phase Composite||||0.0|2014-02-04T18:00:21|2019-02-07T12:50:00
