#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
ZP|SC01||EH1|35.184613|-97.820307|379.0|0.0|0.0|0.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-10T00:00:00|2019-01-25T00:00:00
ZP|SC01||EH2|35.184613|-97.820307|379.0|0.0|90.0|0.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-10T00:00:00|2019-01-25T00:00:00
ZP|SC01||EHZ|35.184613|-97.820307|379.0|0.0|0.0|90.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-10T00:00:00|2019-01-25T00:00:00
ZP|SC02||EH1|34.797712|-97.389037|312.0|0.0|0.0|0.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-11T02:00:00|2019-01-30T00:00:00
ZP|SC02||EH2|34.797712|-97.389037|312.0|0.0|90.0|0.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-11T02:00:00|2019-01-30T00:00:00
ZP|SC02||EHZ|34.797712|-97.389037|312.0|0.0|0.0|90.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-11T02:00:00|2019-01-30T00:00:00
ZP|SC03||EH1|34.940182|-97.848978|349.0|0.0|0.0|0.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-11T18:00:00|2019-02-28T23:59:59
ZP|SC03||EH2|34.940182|-97.848978|349.0|0.0|90.0|0.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-11T18:00:00|2019-02-28T23:59:59
ZP|SC03||EHZ|34.940182|-97.848978|349.0|0.0|0.0|90.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-11T18:00:00|2019-02-28T23:59:59
ZP|SC04||EH1|34.36356|-97.473422|300.0|0.0|0.0|0.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-11T22:00:00|2019-03-07T23:00:00
ZP|SC04||EH2|34.36356|-97.473422|300.0|0.0|90.0|0.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-11T22:00:00|2019-03-07T23:00:00
ZP|SC04||EHZ|34.36356|-97.473422|300.0|0.0|0.0|90.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-11T22:00:00|2019-03-07T23:00:00
ZP|SC05||EH1|35.518658|-97.832768|388.0|0.0|0.0|0.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-12T22:00:00|2019-03-01T17:59:59
ZP|SC05||EH2|35.518658|-97.832768|388.0|0.0|90.0|0.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-12T22:00:00|2019-03-01T17:59:59
ZP|SC05||EHZ|35.518658|-97.832768|388.0|0.0|0.0|90.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-12T22:00:00|2019-03-01T17:59:59
ZP|SC06||EH1|35.073193|-97.521477|342.0|0.0|0.0|0.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-13T00:00:00|2019-03-07T17:45:00
ZP|SC06||EH2|35.073193|-97.521477|342.0|0.0|90.0|0.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-13T00:00:00|2019-03-07T17:45:00
ZP|SC06||EHZ|35.073193|-97.521477|342.0|0.0|0.0|90.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-13T00:00:00|2019-03-07T17:45:00
ZP|SC07||EH1|34.933695|-98.214027|349.0|0.0|0.0|0.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-14T20:00:00|2019-02-28T23:59:59
ZP|SC07||EH2|34.933695|-98.214027|349.0|0.0|90.0|0.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-14T20:00:00|2019-02-28T23:59:59
ZP|SC07||EHZ|34.933695|-98.214027|349.0|0.0|0.0|90.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-11-14T20:00:00|2019-02-28T23:59:59
ZP|SC08||EH1|34.687273|-96.393077|200.0|0.0|0.0|0.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-12-12T21:00:00|2019-03-07T20:45:00
ZP|SC08||EH2|34.687273|-96.393077|200.0|0.0|90.0|0.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-12-12T21:00:00|2019-03-07T20:45:00
ZP|SC08||EHZ|34.687273|-96.393077|200.0|0.0|0.0|90.0|L-22D, 2 Hz, 87.9 V/m/s, Rc=5470 Ohms, Rs=20000 Oh|1105840.0|0.05|m/s|100.0|2016-12-12T21:00:00|2019-03-07T20:45:00
ZP|SC09||HH1|34.545088|-97.365705|291.0|0.0|0.0|0.0|CMG-3T, 120s to 50Hz, 1500 V/m/s-RT130, gain 1, 10|9.43437E8|0.05|m/s|100.0|2017-04-07T00:00:00|2018-12-31T23:59:59
ZP|SC09||HH2|34.545088|-97.365705|291.0|0.0|90.0|0.0|CMG-3T, 120s to 50Hz, 1500 V/m/s-RT130, gain 1, 10|9.43437E8|0.05|m/s|100.0|2017-04-07T00:00:00|2018-12-31T23:59:59
ZP|SC09||HHZ|34.545088|-97.365705|291.0|0.0|0.0|-90.0|CMG-3T, 120s to 50Hz, 1500 V/m/s-RT130, gain 1, 10|9.43437E8|0.05|m/s|100.0|2017-04-07T00:00:00|2018-12-31T23:59:59
