#Network | Station | Location | Channel | Latitude | Longitude | Elevation | Depth | Azimuth | Dip | SensorDescription | Scale | ScaleFreq | ScaleUnits | SampleRate | StartTime | EndTime
ZW|AFDA||HHE|32.822601|-97.048401|165.0|0.0|90.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.42858E8|1.0|M/S|200.0|2014-12-08T00:00:00|2015-03-08T23:59:59
ZW|AFDA||HHN|32.822601|-97.048401|165.0|0.0|0.0|0.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.42858E8|1.0|M/S|200.0|2014-12-08T00:00:00|2015-03-08T23:59:59
ZW|AFDA||HHZ|32.822601|-97.048401|165.0|0.0|0.0|-90.0|Guralp CMG6TD Sensor/Guralp CMG6TD Datalogger|9.42858E8|1.0|M/S|200.0|2014-12-08T00:00:00|2015-03-08T23:59:59
ZW|AFDA||LOG|32.822601|-97.048401|165.0|0.0|0.0|0.0|Reftek 130 Datalogger||||0.0|2015-03-09T00:00:00|2018-02-27T23:59:59
ZW|AFDA||VM1|32.822643|-97.048378|165.0|0.0|0.0|0.0|Reftek 130 Datalogger|3.052E-4|0.0|V|0.1|2015-03-09T00:00:00|2015-12-31T23:59:59
ZW|AFDA||VM2|32.822643|-97.048378|165.0|0.0|0.0|0.0|Reftek 130 Datalogger|3.052E-4|0.0|V|0.1|2015-03-09T00:00:00|2015-12-31T23:59:59
ZW|AFDA||VM3|32.822643|-97.048378|165.0|0.0|0.0|0.0|Reftek 130 Datalogger|3.052E-4|0.0|V|0.1|2015-03-09T00:00:00|2015-12-31T23:59:59
ZW|AFDA|00|EH1|32.822601|-97.048401|165.0|0.0|0.0|0.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|M/S|100.0|2015-03-09T00:00:00|2018-02-27T23:59:59
ZW|AFDA|00|EH2|32.822601|-97.048401|165.0|0.0|90.0|0.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|M/S|100.0|2015-03-09T00:00:00|2018-02-27T23:59:59
ZW|AFDA|00|EHZ|32.822601|-97.048401|165.0|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|5.87086E8|8.0|M/S|100.0|2015-03-09T00:00:00|2018-02-27T23:59:59
ZW|AFDA|01|EH1|32.822601|-97.048401|165.0|0.0|0.0|0.0|Mark Products L28/Reftek 130 Datalogger|6.02383E8|10.0|M/S|200.0|2015-03-09T00:00:00|2018-02-27T23:59:59
ZW|AFDA|01|EH2|32.822601|-97.048401|165.0|0.0|90.0|0.0|Mark Products L28/Reftek 130 Datalogger|6.02383E8|10.0|M/S|200.0|2015-03-09T00:00:00|2018-02-27T23:59:59
ZW|AFDA|01|EHZ|32.822601|-97.048401|165.0|0.0|0.0|90.0|Mark Products L28/Reftek 130 Datalogger|6.02383E8|10.0|M/S|200.0|2015-03-09T00:00:00|2018-02-27T23:59:59
ZW|AZCF||HHE|33.184074|-97.446251|381.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.32212E9|0.4|M/S|100.0|2014-01-30T00:00:00|2016-12-31T23:59:59
ZW|AZCF||HHN|33.184074|-97.446251|381.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.32212E9|0.4|M/S|100.0|2014-01-30T00:00:00|2016-12-31T23:59:59
ZW|AZCF||HHZ|33.184074|-97.446251|381.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.32212E9|0.4|M/S|100.0|2014-01-30T00:00:00|2016-12-31T23:59:59
ZW|AZCF||LOG|33.184074|-97.446251|381.0|0.0|0.0|0.0|Reftek 130 Datalogger||||0.0|2015-06-25T00:00:00|2016-12-31T23:59:59
ZW|AZCF||MHE|33.184101|-97.446297|381.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Guralp DM24 Datalogger|1.19474E9|0.3|M/S|100.0|2014-01-30T00:00:00|2016-12-30T23:59:59
ZW|AZCF||MHN|33.184101|-97.446297|381.0|0.0|0.0|0.0|Guralp CMG3T_120sec/Guralp DM24 Datalogger|1.19474E9|0.3|M/S|100.0|2014-01-30T00:00:00|2016-12-30T23:59:59
ZW|AZCF||MHZ|33.184101|-97.446297|381.0|0.0|0.0|-90.0|Guralp CMG3T_120sec/Guralp DM24 Datalogger|1.19474E9|0.3|M/S|100.0|2014-01-30T00:00:00|2016-12-30T23:59:59
ZW|AZCF||MME|33.184074|-97.446251|381.0|0.0|90.0|0.0|Guralp CMG3T_120sec/Guralp DM24-MK3 Datalogger|6.31629E9|0.04|M/S|1.0|2014-01-30T00:00:00|2016-12-31T23:59:59
