EventID,Evaluation Status,Origin Date,Origin Time,Magnitude,Moment Magnitude,Latitude (WGS84),Latitude Error (km),Longitude (WGS84),Longitude Error (km),Depth of Hypocenter (Km.  Rel to MSL),Depth of Hypocenter (Km. Rel to Ground Surface),Depth Uncertainty (Km. Corresponds to 1 st dev),RMS,UsedPhaseCount,UsedStationCount,Author,EventType,LocationName,Nodal Plane 1 - Strike,Nodal Plane 1 - Dip,Nodal Plane 1 - Rake,Nodal Plane 2 - Strike,Nodal Plane 2 - Dip,Nodal Plane 2 - Rake,Focal Mechanism Method ID,Focal Mechanism - Azimuthal Gap,Focal Mechanism - Misfit,Maximum Station Distance (km),Last Updated
texnet2021kemx,final,2021-05-25,18:24:57,4.6,4.0,36.2631,1.6,-99.9260,1.1,1.9,2.6,1.7,0.3,28,19,TXNet,earthquake,Oklahoma,56,47,-121,277,51,-61,Moment Tensor,109.8390927,0.1260298058,308.05796407238995,2021-06-03 21:04:01
texnet2021iflj,final,2021-04-27,19:42:11,4.0,3.8,31.6625,0.5,-104.3703,0.6,7.4,8.5,1.4,0.3,64,46,TXNet,earthquake,Western Texas,118,59,-76,272,34,-112,Moment Tensor,115.1401585,0.1648866954,122.57070506667,2021-05-06 15:17:51
texnet2021hiaf,final,2021-04-14,23:54:02,4.3,3.5,35.8530,1.2,-101.0077,1.1,7.7,8.6,2.1,0.3,29,21,TXNet,earthquake,Texas Panhandle Region,73,44,-136,308,61,-55,Moment Tensor,85.38775401,0.2304177335,348.064772980995,2021-04-15 14:12:13
texnet2021gjyn,final,2021-04-01,19:49:55,3.9,3.8,31.6785,0.5,-104.3871,0.5,6.5,7.7,1.1,0.3,73,52,TXNet,earthquake,Western Texas,99,53,-84,270,38,-97,Moment Tensor,125.8140908,0.1452833121,158.907429374085,2021-04-02 20:48:50
texnet2021fqka,final,2021-03-22,02:54:02,3.9,3.8,31.6779,0.5,-104.4038,0.4,7.1,8.4,1.1,0.3,64,48,TXNet,earthquake,Western Texas,95,54,-87,270,36,-94,Moment Tensor,127.6419825,0.1643008553,199.467698830155,2021-03-22 15:57:37
texnet2021fhjh,final,2021-03-17,04:19:28,4.5,4.1,31.6543,0.5,-104.3573,0.5,6.2,7.3,1.1,0.3,75,53,TXNet,earthquake,Western Texas,83,57,-97,275,34,-80,Moment Tensor,75.38383853,0.1857144822,203.82336231956998,2021-03-17 13:04:13
texnet2021cfve,final,2021-02-01,15:27:29,3.7,3.4,31.6752,0.6,-104.3989,0.5,6.1,7.3,0.9,0.3,79,52,TXNet,earthquake,Western Texas,107,64,-70,247,32,-125,Moment Tensor,91.82316514,0.349947061,206.28627719521498,2021-02-05 21:49:54
texnet2020zslr,final,2020-12-31,20:44:19,4.2,3.9,32.2879,0.5,-101.8063,0.7,4.1,4.9,0.8,0.2,44,30,TXNet,earthquake,Western Texas,98,79,-14,191,77,-169,Moment Tensor,44.82708122,0.1176952904,91.1870474255685,2021-01-01 01:14:15
texnet2020wleh,final,2020-11-15,04:27:00,3.8,3.5,32.9086,0.8,-100.8802,0.8,6.9,7.6,0.9,0.3,34,20,TXNet,earthquake,Western Texas,106,66,-4,198,86,-156,Moment Tensor,45.85543037,0.2009086631,178.48151276885997,2020-11-16 16:20:10
texnet2020vfxf,final,2020-10-29,01:40:06,4.0,3.6,31.6682,0.6,-104.3125,0.6,6.6,7.8,1.2,0.3,74,55,TXNet,earthquake,Western Texas,93,58,-99,289,33,-77,Moment Tensor,68.86592733,0.2040176668,127.94169087945,2020-10-29 19:11:59
