max_cc cc_shift dlnA mstalta length start end center mode
 0.817800 -4.0  0.627271  0.009504   960   511  5313  2912 0
 0.722702 -6.0  0.998506  0.023251   364   511  2330  1420 0
 0.441093  0.0  1.766766  0.023251   308   511  2051  1281 0
 0.839616 -5.0  0.630992  0.009504   770   511  4361  2436 0
 0.508270 -7.0  0.304289  0.009504  1057   511  5794  3152 0
 0.868474 -5.0  0.804222  0.009504   596   511  3489  2000 0
 0.973802 -6.0  0.724793  0.023251   479   511  2905  1708 0
 0.334673  0.0  2.228794  0.023251   285   511  1938  1224 0
 0.875232 -9.0  0.710900  0.023251   386   511  2443  1477 0
 0.373466 -3264.0  0.160254  0.009504  1344   511  7233  3872 0
 0.789411 -4.0  0.598025  0.009504  1006   511  5541  3026 0
 0.304778 -38.0  2.228958  0.023251   275   511  1884  1197 0
 0.831526 -4.0  0.624543  0.009504   871   511  4867  2689 0
 0.933461 -8.0  0.516243  0.023251   408   511  2552  1531 0
 0.813181 -4.0  0.621452  0.009504   983   511  5425  2968 0
 0.857652 -5.0  0.690562  0.009504   706   511  4041  2276 0
 0.883007 -6.0  0.784531  0.013506   551   511  3267  1889 0
 0.398780 -3264.0  0.167101  0.009504  1311   511  7065  3788 0
 0.834348 -4.0  0.623056  0.009504   850   511  4763  2637 0
 0.304926 -38.0  2.230400  0.023251   274   511  1882  1196 0
 0.920821 -6.0  0.754736  0.023251   508   511  3051  1781 0
 0.885996 -6.0  0.781606  0.023251   539   511  3204  1857 0
 0.439511 -3264.0  0.122574  0.009504  1177   511  6395  3453 0
 0.857108 -4.0  0.699223  0.009504   665   511  3837  2174 0
 0.831549 -4.0  0.626200  0.009504   894   511  4979  2745 0
 0.825331 -4.0  0.627879  0.009504   929   511  5156  2833 0
 0.414838 -3264.0  0.164393  0.009504  1261   511  6816  3663 0
 0.475728 -34.0  1.400777  0.023251   327   511  2148  1329 0
 0.277168 -4740.0  0.030741  0.009504  1398   511  7499  4005 0
 0.839113 -5.0  0.632216  0.009504   798   511  4503  2507 0
 0.433578 -3264.0  0.143964  0.009504  1199   511  6504  3507 0
 0.463524 -3264.0  0.107929  0.009504  1130   511  6160  3335 0
 0.461559 -3264.0  0.108711  0.009504  1114   511  6079  3295 0
 0.446533 -3264.0  0.121773  0.009504  1152   511  6271  3391 0
 0.426099 -3264.0  0.153747  0.009504  1218   511  6603  3557 0
 0.876056 -6.0  0.797186  0.009504   573   511  3377  1944 0
 0.655807 -5.0  1.279341  0.023251   342   511  2221  1366 0
 0.876056 -6.0  0.797186  0.009504   573   513  3377  1945 0
 0.433578 -3264.0  0.143964  0.009504  1198   513  6504  3508 0
 0.831549 -4.0  0.626200  0.009504   893   513  4979  2746 0
 0.475724 -34.0  1.400769  0.023251   327   513  2148  1330 0
 0.304904 -38.0  2.230390  0.023251   274   513  1882  1197 0
 0.414838 -3264.0  0.164393  0.009504  1261   513  6816  3664 0
 0.461559 -3264.0  0.108711  0.009504  1113   513  6079  3296 0
 0.439512 -3264.0  0.122574  0.009504  1176   513  6395  3454 0
 0.920821 -6.0  0.754736  0.023251   508   513  3051  1782 0
 0.277167 -4740.0  0.030741  0.009504  1397   513  7499  4006 0
 0.857108 -4.0  0.699223  0.009504   665   513  3837  2175 0
 0.398781 -3264.0  0.167101  0.009504  1310   513  7065  3789 0
 0.825331 -4.0  0.627879  0.009504   929   513  5156  2834 0
 0.831526 -4.0  0.624543  0.009504   871   513  4867  2690 0
 0.933462 -8.0  0.516242  0.023251   408   513  2552  1532 0
 0.834348 -4.0  0.623056  0.009504   850   513  4763  2638 0
 0.885996 -6.0  0.781606  0.023251   538   513  3204  1858 0
 0.789411 -4.0  0.598025  0.009504  1006   513  5541  3027 0
 0.883007 -6.0  0.784531  0.013506   551   513  3267  1890 0
 0.857652 -5.0  0.690562  0.009504   706   513  4041  2277 0
 0.813181 -4.0  0.621452  0.009504   982   513  5425  2969 0
 0.426099 -3264.0  0.153747  0.009504  1218   513  6603  3558 0
 0.875233 -9.0  0.710899  0.023251   386   513  2443  1478 0
 0.973802 -6.0  0.724793  0.023251   478   513  2905  1709 0
 0.304757 -38.0  2.228948  0.023251   274   513  1884  1198 0
 0.839616 -5.0  0.630992  0.009504   770   513  4361  2437 0
 0.441094  0.0  1.766759  0.023251   308   513  2051  1282 0
 0.373466 -3264.0  0.160254  0.009504  1344   513  7233  3873 0
 0.722703 -6.0  0.998503  0.023251   363   513  2330  1421 0
 0.334671  0.0  2.228786  0.023251   285   513  1938  1225 0
 0.655809 -5.0  1.279336  0.023251   342   513  2221  1367 0
 0.868474 -5.0  0.804222  0.009504   595   513  3489  2001 0
 0.446533 -3264.0  0.121773  0.009504  1152   513  6271  3392 0
 0.508270 -7.0  0.304289  0.009504  1056   513  5794  3153 0
 0.817800 -4.0  0.627271  0.009504   960   513  5313  2913 0
 0.463524 -3264.0  0.107929  0.009504  1129   513  6160  3336 0
 0.839113 -5.0  0.632216  0.009504   798   513  4503  2508 0
 0.439512 -3264.0  0.122575  0.009504  1176   515  6395  3455 0
 0.933462 -8.0  0.516242  0.023251   407   515  2552  1533 0
 0.831549 -4.0  0.626200  0.009504   893   515  4979  2747 0
 0.304874 -38.0  2.230360  0.023251   273   515  1882  1198 0
 0.839113 -5.0  0.632216  0.009504   798   515  4503  2509 0
 0.722707 -6.0  0.998494  0.023251   363   515  2330  1422 0
 0.304727 -38.0  2.228918  0.023251   274   515  1884  1199 0
 0.441099  0.0  1.766736  0.023251   307   515  2051  1283 0
 0.857108 -4.0  0.699223  0.009504   664   515  3837  2176 0
 0.839616 -5.0  0.630992  0.009504   769   515  4361  2438 0
 0.433579 -3264.0  0.143964  0.009504  1198   515  6504  3509 0
 0.277167 -4740.0  0.030741  0.009504  1397   515  7499  4007 0
 0.875235 -9.0  0.710896  0.023251   386   515  2443  1479 0
 0.813181 -4.0  0.621452  0.009504   982   515  5425  2970 0
 0.789411 -4.0  0.598025  0.009504  1005   515  5541  3028 0
 0.475721 -34.0  1.400749  0.023251   327   515  2148  1331 0
